url	method	startedDateTime	time	Response status	Response content mimeType	Response content size	Response headersSize	Response bodySize	Referer	Timing blocked	Timing dns	Timing connect	Timing send	Timing wait	Timing receive	Timing ssl
https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	GET	2015-11-23T10:28:00.917+01:00	1252	200	text/html; charset=utf-8	91929	1015	18733	https://www.google.com	0	0	33	0	1208	11	
https://cdn.optimizely.com/js/2103730419.js	GET	2015-11-23T10:28:02.207+01:00	33	304	text/javascript	192451	418	64651	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	24	0	9	0	
https://cdn.jetair.be/sites/jetair/files/advagg_css/css__u_xQQtOsCcf41_CDGANJX36IaHqoCh58BVgDpYyYk1A__h8Yl772L-BfQKV04WZCA9O5KFcIbNk-Dz5MTGqGsiSE__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	GET	2015-11-23T10:28:02.210+01:00	63	304	text/css	25238	384	25238	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	2	12	14	35	0	
https://cdn.jetair.be/sites/jetair/files/advagg_css/css__aCBwy2WzWqkT6BklBDiNpxO62DGCLaI0H9cL7HzgDUA__iSgq6tnDO9aDTRlX-QpgAyEgiO9rayYPIV1PljKdWD8__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	GET	2015-11-23T10:28:02.212+01:00	62	304	text/css	10124	384	10124	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	2	12	17	31	0	
https://cdn.jetair.be/sites/jetair/files/advagg_css/css__vUjMbZ-6lgxeBi6X89GS5lciF1U38g1v2KptJWipeHo__15CXtBWsodnthWNaB4dSKea87n7ae0PI3QFM5I-ThUU__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	GET	2015-11-23T10:28:02.215+01:00	70	304	text/css	10280	384	10280	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	46	0	24	0	
https://cdn.jetair.be/sites/jetair/files/advagg_css/css__75kkpVQv7YOUrr_lvNoP-7f8CaQagEQzpnN2LGApBbU__B8--uJiWKBAReGAp7_P--BnpjGNAa3QOWwuaKg8Ba7w__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	GET	2015-11-23T10:28:02.217+01:00	70	304	text/css	113877	384	113877	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	57	0	13	0	
https://cdn.jetair.be/sites/jetair/files/advagg_css/css__0M9477x9GFhUS0x-0aglg6PDoqeiZe8S95RIUN3VGgU__ZN4nHSK58h8olcbxpEsnBCnBjKoeQGHzdejQBurPu84__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	GET	2015-11-23T10:28:02.220+01:00	73	304	text/css	184510	384	184512	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	60	0	13	0	
https://cdn.jetair.be/sites/jetair/files/advagg_css/css__TLVlccvW8uj64H8lLVHnavoHBlU0plFTdUjVNh5aA8g__N2MUao0A6w-TqTmI5vff3xjyaAbOd7YO1ydKzPH-YwM__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	GET	2015-11-23T10:28:02.223+01:00	73	304	text/css	486	384	486	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	57	0	16	0	
https://www.jetair.be/sites/all/modules/contrib/jquery_update/replace/jquery/1.8/jquery.min.js	GET	2015-11-23T10:28:02.229+01:00	42	200	application/javascript	93433	597	33401	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	2	0	21	19	
https://cdn.jetair.be/sites/jetair/files/advagg_js/js__lmgpsCw9s8DZi0mz-whLPo1BuPNwzIJC5KnRDcs3JZE__miElTAtJCIxM_dfQzh325hPkU4VTU4Uega2JyuP91Cc__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.js	GET	2015-11-23T10:28:02.232+01:00	64	304	application/javascript	467	384	467	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	48	0	16	0	
